,Rating,Artifact,ClipScore,LAIONScore,ImageIndex
0,7.25239896774292,2.4081711769104004,0.279296875,6.732968330383301,1
0,7.292895793914795,2.397453546524048,0.329345703125,6.771568298339844,2
0,6.884429931640625,2.544311285018921,0.3212890625,6.794747352600098,3
0,6.944894790649414,2.4715025424957275,0.315185546875,6.708542823791504,4
0,6.593505859375,2.975273370742798,0.31689453125,6.824212074279785,5
0,6.840970516204834,2.8828647136688232,0.301025390625,6.90765905380249,6
0,6.583459854125977,2.801846742630005,0.331298828125,6.681458473205566,7
0,6.471858024597168,2.896702766418457,0.30517578125,6.8402838706970215,8
0,6.476539134979248,2.9581661224365234,0.302001953125,6.722312927246094,9
0,7.465977191925049,2.481032133102417,0.314453125,6.9024763107299805,10
0,6.793305397033691,2.7654919624328613,0.309326171875,6.70766544342041,11
0,6.505008697509766,2.827484607696533,0.32275390625,7.0498738288879395,12
0,6.620186805725098,2.873286485671997,0.326171875,6.865487098693848,13
0,6.265715599060059,3.01055908203125,0.3173828125,6.700665473937988,14
0,6.925889015197754,2.776017904281616,0.3095703125,6.937928199768066,15
0,7.112412929534912,2.6715128421783447,0.30810546875,6.828265190124512,16
0,5.974996566772461,3.0945522785186768,0.314208984375,6.807381629943848,17
0,6.805621147155762,2.874640464782715,0.31640625,6.6650285720825195,18
0,6.630692005157471,2.823232889175415,0.3134765625,6.765059471130371,19
0,6.686694145202637,2.749147653579712,0.327880859375,6.727777481079102,20
0,7.511754989624023,2.4489171504974365,0.31396484375,6.665238857269287,21
0,7.028072357177734,2.649305582046509,0.31494140625,6.602993965148926,22
0,6.9736504554748535,2.7457547187805176,0.328857421875,6.649349212646484,23
0,6.225005149841309,3.035984516143799,0.322021484375,6.87484073638916,24
0,6.448646545410156,2.957468271255493,0.313720703125,6.912441253662109,25
0,5.842563152313232,3.138526439666748,0.296142578125,6.962867736816406,26
0,6.718491554260254,2.8518226146698,0.302978515625,6.731375217437744,27
0,6.803987503051758,2.874293088912964,0.329345703125,7.178926944732666,28
0,6.322200298309326,2.9440433979034424,0.33251953125,6.661571502685547,29
0,7.094847679138184,2.7029080390930176,0.30126953125,6.968194961547852,30
0,7.138137340545654,2.791738986968994,0.30419921875,6.890829086303711,31
0,6.8755903244018555,2.5893502235412598,0.319580078125,6.860477447509766,32
