,ClipScore,LAIONScore,ImageIndex
0,0.315185546875,6.548953056335449,1
0,0.29345703125,6.890196800231934,2
0,0.33154296875,6.6223649978637695,3
0,0.303955078125,6.570363998413086,4
0,0.306396484375,6.597908973693848,5
0,0.319580078125,6.576847076416016,6
0,0.31591796875,6.472683906555176,7
0,0.3125,6.696066856384277,8
0,0.3359375,6.8712568283081055,9
0,0.314208984375,6.587296962738037,10
0,0.31640625,6.557528972625732,11
0,0.310791015625,6.7006940841674805,12
0,0.321533203125,6.632678031921387,13
0,0.326171875,6.44060754776001,14
0,0.31640625,6.523690223693848,15
0,0.306884765625,6.695649147033691,16
0,0.31103515625,6.721459865570068,17
0,0.306396484375,6.5470871925354,18
0,0.297607421875,6.463799476623535,19
0,0.312744140625,6.50322151184082,20
0,0.298095703125,6.7281389236450195,21
0,0.312744140625,6.418668746948242,22
0,0.302001953125,6.60117244720459,23
0,0.308837890625,6.772001266479492,24
0,0.30224609375,6.5867156982421875,25
0,0.3173828125,6.663565635681152,26
0,0.315185546875,6.706915378570557,27
0,0.312255859375,6.576434135437012,28
0,0.2998046875,6.848844528198242,29
0,0.322265625,6.715187072753906,30
0,0.324462890625,6.700995922088623,31
0,0.3154296875,6.814638137817383,32
