,Rating,Artifact,ClipScore,LAIONScore,ImageIndex
0,6.7467756271362305,2.2794506549835205,0.31298828125,7.266461372375488,1
0,6.115469932556152,2.7519912719726562,0.269775390625,6.724989891052246,2
0,6.539592266082764,2.3298494815826416,0.319091796875,7.2175445556640625,3
0,7.488271713256836,1.9220921993255615,0.31982421875,6.899589538574219,4
0,5.97239875793457,2.388282537460327,0.26904296875,6.739584445953369,5
0,6.721893310546875,1.9629685878753662,0.29150390625,7.182945251464844,6
0,7.071491241455078,1.9402152299880981,0.28955078125,6.677595138549805,7
0,6.238001823425293,2.1684021949768066,0.324462890625,7.1509108543396,8
0,7.820853233337402,1.814509391784668,0.29541015625,7.315561294555664,9
0,7.104306221008301,1.968629240989685,0.32470703125,7.07637882232666,10
0,8.594372749328613,1.4748787879943848,0.313232421875,6.872152328491211,11
0,7.838893890380859,1.8374017477035522,0.316162109375,7.251246929168701,12
0,7.1060285568237305,1.9207534790039062,0.336669921875,7.258498191833496,13
0,6.033117771148682,2.265681028366089,0.2783203125,6.72147274017334,14
0,5.958868980407715,2.436187982559204,0.3232421875,6.708029270172119,15
0,7.3095526695251465,1.823362946510315,0.290283203125,6.681622505187988,16
0,7.286463737487793,2.0834131240844727,0.301025390625,6.983139991760254,17
0,6.253375053405762,2.34732723236084,0.250244140625,6.451786994934082,18
0,6.264817237854004,2.596750020980835,0.287109375,6.3050384521484375,19
0,6.3978400230407715,2.369288682937622,0.321044921875,6.986227512359619,20
0,7.518947601318359,1.7479870319366455,0.29833984375,7.090522766113281,21
0,6.107104301452637,2.401806592941284,0.335205078125,6.930392742156982,22
0,7.347529411315918,2.151365041732788,0.328125,7.460257530212402,23
0,8.2857027053833,1.7082575559616089,0.32275390625,6.9941816329956055,24
0,6.639930248260498,2.19836163520813,0.331787109375,7.150895118713379,25
0,5.861176490783691,2.595690965652466,0.32421875,6.5391130447387695,26
0,6.411751747131348,2.2079529762268066,0.31494140625,7.121098041534424,27
0,7.293340682983398,1.708915114402771,0.3388671875,7.237359523773193,28
0,7.643500328063965,1.9499130249023438,0.307373046875,7.107646942138672,29
0,6.078357219696045,2.3496155738830566,0.3310546875,7.265504360198975,30
0,8.332720756530762,1.534826636314392,0.31591796875,7.156647682189941,31
0,7.2147135734558105,2.0457520484924316,0.318115234375,7.273327350616455,32
